"year","oblast","rayon","Voted","dem","prorus","region","sum"
2006,"Вінницька область","Тростянецький район",24216,0.562314172447968,0.33011232243145,"Серединний пояс",0.892426494879419
2006,"Вінницька область","місто Ладижин",11812,0.591601760921097,0.254994920419912,"Серединний пояс",0.846596681341009
2006,"Вінницька область","Тульчинський район",33809,0.502262711112426,0.379455174657636,"Серединний пояс",0.881717885770061
2006,"Вінницька область","Гайсинський район",35578,0.537972904603969,0.34630951711732,"Серединний пояс",0.884282421721289
2006,"Вінницька область","Іллінецький район",25050,0.530339321357285,0.353892215568862,"Серединний пояс",0.884231536926148
2006,"Вінницька область","Теплицький район",19890,0.516691804927099,0.354449472096531,"Серединний пояс",0.87114127702363
2006,"Вінницька область","Немирівський район",33755,0.590697674418605,0.291423492815879,"Серединний пояс",0.882121167234484
2006,"Вінницька область","Тиврівський район",26926,0.634591101537547,0.268068038327267,"Серединний пояс",0.902659139864815
2006,"Вінницька область","Липовецький район",25253,0.595176810675959,0.31136894626381,"Серединний пояс",0.906545756939769
2006,"Вінницька область","Погребищенський район",20724,0.518674001158077,0.352972399150743,"Серединний пояс",0.871646400308821
2006,"Вінницька область","Оратівський район",15955,0.538890629896584,0.363835788154184,"Серединний пояс",0.902726418050768
2006,"Волинська область","місто Володимир-Волинський",20485,0.701244813278008,0.201806199658287,"Волинь",0.903051012936295
2006,"Волинська область","місто Нововолинськ",28424,0.747607655502392,0.160674078243738,"Волинь",0.90828173374613
2006,"Волинська область","Володимир-Волинський район",17205,0.765998256320837,0.137808776518454,"Волинь",0.903807032839291
2006,"Волинська область","Іваничівський район",21260,0.803621825023518,0.111618062088429,"Волинь",0.915239887111947
2006,"Волинська область","Любомльський район",24718,0.717736062788251,0.13233271300267,"Волинь",0.850068775790922
2006,"Волинська область","Старовижівський район",18524,0.709997840639171,0.176635715828115,"Волинь",0.886633556467286
2006,"Волинська область","Шацький район",10922,0.660867972898736,0.161875114447903,"Волинь",0.82274308734664
2006,"Волинська область","Локачинський район",15591,0.751266756462062,0.136232441793342,"Волинь",0.887499198255404
2006,"Волинська область","Горохівський район",35642,0.783401604848213,0.130211548173503,"Волинь",0.913613153021716
2006,"Волинська область","Турійський район",17863,0.736326484912949,0.150702569557185,"Волинь",0.887029054470134
2006,"Волинська область","місто Луцьк",112134,0.719799525567625,0.191119553391478,"Волинь",0.910919078959103
2006,"Волинська область","Луцький район",33713,0.788004627295109,0.126449737489989,"Волинь",0.914454364785098
2006,"Волинська область","Рожищенський район",25196,0.742578187013812,0.146967772662327,"Волинь",0.889545959676139
2006,"Волинська область","місто Ковель",37352,0.694152923538231,0.161785178839152,"Волинь",0.855938102377383
2006,"Волинська область","Ковельський район",26753,0.719395955593765,0.155832990692633,"Волинь",0.875228946286398
2006,"Волинська область","Маневицький район",34032,0.738892806770099,0.128261636107193,"Волинь",0.867154442877292
2006,"Волинська область","Ківерцівський район",38093,0.797364345155278,0.11007271677211,"Волинь",0.907437061927388
2006,"Волинська область","Камінь-Каширський район",35790,0.722492316289466,0.169125454037441,"Волинь",0.891617770326907
2006,"Волинська область","Любешівський район",21212,0.61875353573449,0.267631529323025,"Волинь",0.886385065057515
2006,"Волинська область","Ратнівський район",27732,0.641461127938843,0.215743545362758,"Волинь",0.857204673301601
2006,"Дніпропетровська область","місто Дніпро",524093,0.238385172097319,0.620527272831349,"Південний-Схід",0.858912444928667
2006,"Дніпропетровська область","Дніпровський район",42334,0.213752539330089,0.624746066991071,"Південний-Схід",0.83849860632116
2006,"Дніпропетровська область","місто Кам'янське",122762,0.2389664554178,0.628720613870742,"Південний-Схід",0.867687069288542
2006,"Дніпропетровська область","місто Покров",27534,0.187586256991356,0.701677925473959,"Південний-Схід",0.889264182465316
2006,"Дніпропетровська область","місто Кривий Ріг",368045,0.211180698012471,0.670673423086851,"Південний-Схід",0.881854121099322
2006,"Дніпропетровська область","Верхньодніпровський район",27687,0.233539206125619,0.615342940730307,"Південний-Схід",0.848882146855925
2006,"Дніпропетровська область","П'ятихатський район",23952,0.172135938543754,0.643453573814295,"Південний-Схід",0.815589512358049
2006,"Дніпропетровська область","місто Вільногірськ",13090,0.270893812070283,0.57990832696715,"Південний-Схід",0.850802139037433
2006,"Дніпропетровська область","Криничанський район",19570,0.202248339294839,0.646346448645887,"Південний-Схід",0.848594787940726
2006,"Дніпропетровська область","місто Жовті Води",29180,0.206408498971899,0.677793008910213,"Південний-Схід",0.884201507882111
2006,"Дніпропетровська область","місто Нікополь",69253,0.314369052604219,0.560380055737658,"Південний-Схід",0.874749108341877
2006,"Дніпропетровська область","місто Марганець",24986,0.228207796365965,0.666093012086769,"Південний-Схід",0.894300808452734
2006,"Дніпропетровська область","Нікопольський район",24117,0.227764647344197,0.628602230791558,"Південний-Схід",0.856366878135755
2006,"Дніпропетровська область","Солонянський район",22735,0.179810864306136,0.612315812623708,"Південний-Схід",0.792126676929844
