"rayon","oblast","pop_2006","pop_2007","pop_2012","pop_2014","pop_2019","ua_2006","ua_2007","ua_2012","ua_2014","ua_2019","ru_2006","ru_2007","ru_2012","ru_2014","ru_2019","rayon_en"
"Болградський район","Одеська область",0.0216446551529518,0.0438221264809971,0.068519178244864,0.0429398367811729,0.275839368005267,0.0367422959701998,0.0355747038005847,0.086450540315877,0.305276143480736,0.0234646854133358,0.752031832035219,0.869887675026927,0.799707081502593,0.567137976845701,0.67577353522054,"Bolhrad district"
"Борзнянський район","Чернігівська область",0.336078098471986,0.432454036770584,0.551187951938237,0.360273353665424,0.758836626774283,0.200636672325976,0.229839657685616,0.13140868808786,0.543375127075568,0.0981770108544392,0.350254668930391,0.272628955659002,0.283259935845158,0.0511126171919123,0.0909407180629001,"Borzna district"
"Бориспільський район","Київська область, Київ",0.446247086247086,0.561204036494332,0.421997222019154,0.144589552238806,0.687334979984669,0.192944832944833,0.179845175559856,0.291943855544996,0.768112562189055,0.202751043352355,0.246495726495727,0.185962123306608,0.260618466262154,0.0424828980099503,0.0773358317008773,"Boryspil district"
"Бородянський район","Київська область, Київ",0.418260842949405,0.52844342571369,0.413012566772991,0.144616576297444,0.69487349568843,0.204952404272903,0.166319372091408,0.289881249759809,0.749845081332301,0.192030702169999,0.264668972483242,0.225949850663333,0.272164789977326,0.054570100697134,0.0879844593954326,"Borodianka district"
"Борщівський район","Тернопільська область",0.267873500545256,0.480234293222868,0.367253209384683,0.130763820509214,0.603851651245016,0.556815703380589,0.414623282332242,0.507802124833997,0.830158953439302,0.337583690664259,0.0863249727371865,0.0731832253179217,0.0962538733953077,0.0163454775636517,0.0186940494997367,"Borschiv district"
"Борівський район","Харківська область",0.067210837096214,0.0975287681569515,0.135370152761457,0.150226757369615,0.515380065069506,0.0573984022229941,0.123467270326354,0.117273795534665,0.378968253968254,0.0816326530612245,0.780305661688086,0.719392567440106,0.725499412455934,0.348781179138322,0.380360839988169,"Borova district"
"Братський район","Миколаївська область",0.142335424665231,0.200948366701791,0.249776186213071,0.194424382493139,0.73546875,0.0729469051409308,0.09536354056902,0.145415014707763,0.526505850065001,0.083125,0.660923307425789,0.642149631190727,0.579230080572963,0.191679907554528,0.15890625,"Bratske district"
"Броварський район","Київська область, Київ",0.501616942641087,0.604824292232569,0.366818658132487,0.164053372686466,0.7189454235361,0.156612444379605,0.145555940977133,0.35526353054462,0.757517063272459,0.180002842524161,0.227928125075984,0.179069829495424,0.25565719788156,0.0377236672200701,0.0754334849346219,"Brovary district"
"Бродівський район","Львівська область",0.341321342803127,0.52210820394348,0.356725517591769,0.136004706902425,0.484305299774913,0.455316539778243,0.347472196851663,0.528388162072907,0.824017588951166,0.447636586863106,0.0871697920392417,0.0891043894052544,0.0973898132859139,0.0144923048338649,0.0233271945979128,"Brody district"
"Брусилівський район","Житомирська область",0.333946924374904,0.428960817717206,0.416564500749217,0.212868398015757,0.729545454545454,0.216290842153705,0.212606473594549,0.204195613676611,0.667785234899329,0.161525974025974,0.343457585519251,0.289778534923339,0.343005040185261,0.0665304931426904,0.0818181818181818,"Brusyliv district"
