"year","Voted","rayon","oblast","pop","ru","ua"
2006,177907,"місто Сімферополь","АР Крим, Севастополь",0.0647585536263329,0.760026305878914,0.0583282276695127
2006,74183,"Сімферопольський район","АР Крим, Севастополь",0.0711483763126323,0.691843144655784,0.122063006349164
2006,49144,"Бахчисарайський район","АР Крим, Севастополь",0.0605974279667915,0.671434966628683,0.170682077160996
2006,24188,"місто Джанкой","АР Крим, Севастополь",0.0543244584091285,0.781089796593352,0.0490325781379196
2006,38984,"Джанкойський район","АР Крим, Севастополь",0.0650779807100349,0.707674943566591,0.1160476092756
2006,16257,"місто Красноперекопськ","АР Крим, Севастополь",0.0811957925816571,0.768653503106354,0.037952881835517
2006,13717,"Красноперекопський район","АР Крим, Севастополь",0.0860975431945761,0.670336079317635,0.114237807100678
2006,13782,"місто Армянськ","АР Крим, Севастополь",0.0481062255115368,0.794224350602235,0.0369322304455086
2006,57712,"місто Євпаторія","АР Крим, Севастополь",0.0609578597172165,0.787496534516218,0.0499896035486554
2006,14905,"місто Саки","АР Крим, Севастополь",0.0435424354243542,0.808252264340825,0.0515263334451526
2006,41835,"Сакський район","АР Крим, Севастополь",0.0611688777339548,0.718919564957571,0.108043504242859
2006,16681,"Чорноморський район","АР Крим, Севастополь",0.0842875127390444,0.706372519633116,0.0799712247467178
2006,30671,"Кіровський район","АР Крим, Севастополь",0.0716963907273972,0.659352482801343,0.160738156564833
2006,78535,"місто Керч","АР Крим, Севастополь",0.0430508690392818,0.869599541605653,0.0211752721716432
2006,32956,"Ленінський район","АР Крим, Севастополь",0.0773152081563297,0.723267386818789,0.0725816239834931
2006,53745,"місто Феодосія","АР Крим, Севастополь",0.0515768908735696,0.816317797004372,0.0327844450646572
2006,16912,"місто Судак","АР Крим, Севастополь",0.10188032166509,0.660832544938505,0.0983916745506149
2006,18309,"Совєтський район","АР Крим, Севастополь",0.0703479163253045,0.649243541427713,0.14686766071331
2006,18372,"Роздольненський район","АР Крим, Севастополь",0.122632266492489,0.678586980187241,0.0844763770955802
2006,29186,"місто Алушта","АР Крим, Севастополь",0.0617761940656479,0.756766943054889,0.0519427122593024
2006,66759,"місто Ялта","АР Крим, Севастополь",0.0637067661289114,0.76545484503962,0.0411180514986743
2006,33667,"Білогірський район","АР Крим, Севастополь",0.109899901981169,0.616092909971188,0.146226274987376
2006,45369,"Красногвардійський район","АР Крим, Севастополь",0.0557429081531442,0.721946703696357,0.124556415173356
2006,26304,"Нижньогірський район","АР Крим, Севастополь",0.0541742700729927,0.728976581508516,0.10717001216545
2006,18677,"Первомайський район","АР Крим, Севастополь",0.0679445307062162,0.647641484178401,0.170316431975157
2006,187854,"місто Вінниця","Вінницька область",0.404809053839684,0.293626965622239,0.205537278950674
2006,20377,"місто Жмеринка","Вінницька область",0.249153457329342,0.341512489571576,0.15031653334642
2006,45039,"Вінницький район","Вінницька область",0.418881413885743,0.257532360842825,0.221696751704079
2006,22747,"Жмеринський район","Вінницька область",0.251285883852816,0.348529476414472,0.23431661317976
2006,15434,"місто Козятин","Вінницька область",0.350783983413243,0.237916288713231,0.219126603602436
2006,27371,"Козятинський район","Вінницька область",0.331884110920317,0.274633736436374,0.271053304592452
2006,36696,"Калинівський район","Вінницька область",0.397236756049706,0.278395465445825,0.214819053847831
2006,13341,"місто Хмільник","Вінницька область",0.426729630462484,0.286710141668541,0.199010568922869
2006,24811,"Хмільницький район","Вінницька область",0.296844141711338,0.323001894321067,0.288904115110233
2006,25246,"Літинський район","Вінницька область",0.377921254852254,0.313118909926325,0.2024479125406
2006,9970,"місто Бар","Вінницька область",0.452256770310933,0.224774322968907,0.220661985957874
2006,24449,"Барський район","Вінницька область",0.314205079962371,0.339073172726901,0.228843715489386
2006,17790,"Мурованокуриловецький район","Вінницька область",0.257504215851602,0.407644744238336,0.211073636874649
2006,33925,"Шаргородський район","Вінницька область",0.249491525423729,0.316728076639646,0.322564480471629
2006,15162,"місто Могилів-Подільський","Вінницька область",0.324627357868355,0.403640680648991,0.141669964384646
2006,21359,"Могилів-Подільський район","Вінницька область",0.309518235872466,0.362189241069338,0.199728451706541
2006,14257,"Чернівецький район","Вінницька область",0.198218419022235,0.410324752753034,0.273339412218559
2006,22398,"Ямпільський район","Вінницька область",0.2014019108849,0.409679435663899,0.243459237431914
2006,21036,"Крижопільський район","Вінницька область",0.173321924320213,0.312416809279331,0.420897509032135
2006,14001,"Піщанський район","Вінницька область",0.223412613384758,0.417898721519891,0.21255624598243
2006,21850,"Томашпільський район","Вінницька область",0.233318077803204,0.266407322654462,0.374965675057208
2006,13881,"Чечельницький район","Вінницька область",0.242849938765219,0.373604207189684,0.276565088970535
2006,38485,"Бершадський район","Вінницька область",0.279173704040535,0.348889177601663,0.259139924645966
2006,24216,"Тростянецький район","Вінницька область",0.308556326395771,0.33011232243145,0.254294681202511
2006,11812,"місто Ладижин","Вінницька область",0.437182526244497,0.254994920419912,0.155181171689807
2006,33809,"Тульчинський район","Вінницька область",0.263923807270253,0.379455174657636,0.239167085687243
2006,35578,"Гайсинський район","Вінницька область",0.306228568216314,0.34630951711732,0.233402664567991
2006,25050,"Іллінецький район","Вінницька область",0.337445109780439,0.353892215568862,0.194211576846307
2006,19890,"Теплицький район","Вінницька область",0.256259426847662,0.354449472096531,0.260985419808949
2006,33755,"Немирівський район","Вінницька область",0.377781069471189,0.291423492815879,0.214160865057029
2006,26926,"Тиврівський район","Вінницька область",0.425350961895566,0.268068038327267,0.210391443214737
2006,25253,"Липовецький район","Вінницька область",0.386132340711995,0.31136894626381,0.210153249118917
2006,20724,"Погребищенський район","Вінницька область",0.298204979733642,0.352972399150743,0.2218201119475
2006,15955,"Оратівський район","Вінницька область",0.363647759323096,0.363835788154184,0.176245691005954
2006,20485,"місто Володимир-Волинський","Волинська область",0.457554308030266,0.201806199658287,0.251940444227484
2006,28424,"місто Нововолинськ","Волинська область",0.444483535040811,0.160674078243738,0.308295806360822
2006,17205,"Володимир-Волинський район","Волинська область",0.438244696309212,0.137808776518454,0.330717814588782
2006,21260,"Іваничівський район","Волинська область",0.47107243650047,0.111618062088429,0.340451552210724
2006,24718,"Любомльський район","Волинська область",0.434743911319686,0.13233271300267,0.28748280605227
2006,18524,"Старовижівський район","Волинська область",0.401803066292377,0.176635715828115,0.312243575901533
2006,10922,"Шацький район","Волинська область",0.401849478117561,0.161875114447903,0.259842519685039
2006,15591,"Локачинський район","Волинська область",0.440253992688089,0.136232441793342,0.313834904752742
2006,35642,"Горохівський район","Волинська область",0.460103248975927,0.130211548173503,0.327731328208294
2006,17863,"Турійський район","Волинська область",0.48256171975592,0.150702569557185,0.258243296198847
2006,112134,"місто Луцьк","Волинська область",0.439081812831077,0.191119553391478,0.292052365919347
2006,33713,"Луцький район","Волинська область",0.457449648503545,0.126449737489989,0.336309435529321
2006,25196,"Рожищенський район","Волинська область",0.446261311319257,0.146967772662327,0.301000158755358
2006,37352,"місто Ковель","Волинська область",0.49303919468837,0.161785178839152,0.208502891411437
2006,26753,"Ковельський район","Волинська область",0.426232572047995,0.155832990692633,0.296976040070273
2006,34032,"Маневицький район","Волинська область",0.447696285848613,0.128261636107193,0.294164315937941
2006,38093,"Ківерцівський район","Волинська область",0.535688971727089,0.11007271677211,0.264248024571444
2006,35790,"Камінь-Каширський район","Волинська область",0.396842693489802,0.169125454037441,0.328527521654093
2006,21212,"Любешівський район","Волинська область",0.314350367716387,0.267631529323025,0.30544031680181
2006,27732,"Ратнівський район","Волинська область",0.307262368383095,0.215743545362758,0.336001730852445
2006,524093,"місто Дніпро","Дніпропетровська область",0.162568475442336,0.620527272831349,0.0770626587266001
2006,42334,"Дніпровський район","Дніпропетровська область",0.161619502055086,0.624746066991071,0.0530542826097227
2006,122762,"місто Кам'янське","Дніпропетровська область",0.166997930955833,0.628720613870742,0.073222984311106
2006,27534,"місто Покров","Дніпропетровська область",0.145747076341977,0.701677925473959,0.0423839616474177
2006,368045,"місто Кривий Ріг","Дніпропетровська область",0.142140227417843,0.670673423086851,0.0697115841812822
2006,27687,"Верхньодніпровський район","Дніпропетровська область",0.185899519630151,0.615342940730307,0.0483620471701521
2006,23952,"П'ятихатський район","Дніпропетровська область",0.123079492317969,0.643453573814295,0.0498079492317969
2006,13090,"місто Вільногірськ","Дніпропетровська область",0.234300993124523,0.57990832696715,0.0369747899159664
2006,19570,"Криничанський район","Дніпропетровська область",0.143382728666326,0.646346448645887,0.0601941747572816
2006,29180,"місто Жовті Води","Дніпропетровська область",0.153495544893763,0.677793008910213,0.0532556545579164
2006,69253,"місто Нікополь","Дніпропетровська область",0.239440890647337,0.560380055737658,0.0759678281085296
2006,24986,"місто Марганець","Дніпропетровська область",0.151044584967582,0.666093012086769,0.0776434803489954
2006,24117,"Нікопольський район","Дніпропетровська область",0.156487125264336,0.628602230791558,0.0721482771488991
2006,22735,"Солонянський район","Дніпропетровська область",0.122894215966571,0.612315812623708,0.0578403342863426
2006,15226,"Томаківський район","Дніпропетровська область",0.117299356364114,0.576382503612242,0.101996584789176
2006,63668,"місто Павлоград","Дніпропетровська область",0.145866055161148,0.692969780737576,0.0496324684299805
2006,16192,"місто Тернівка","Дніпропетровська область",0.107831027667984,0.785881916996047,0.0298913043478261
2006,18855,"Павлоградський район","Дніпропетровська область",0.112171837708831,0.702466189339698,0.0378679395385839
2006,8553,"Юр'ївський район","Дніпропетровська область",0.124751549164036,0.568338594645154,0.0308663626797615
2006,15904,"місто Першотравенськ","Дніпропетровська область",0.0920523138832998,0.733714788732394,0.0517479879275654
2006,19089,"Петропавлівський район","Дніпропетровська область",0.0788412174550788,0.777882550159778,0.0352559065430353
2006,33178,"Апостолівський район","Дніпропетровська область",0.108837181264693,0.660106094399904,0.0529869190427392
2006,21775,"Криворізький район","Дніпропетровська область",0.116601607347876,0.684730195177956,0.0694374282433984
2006,16636,"Софіївський район","Дніпропетровська область",0.123647511421015,0.660254868958884,0.0583072854051455
2006,15674,"Широківський район","Дніпропетровська область",0.123771851473778,0.654013015184382,0.0431287482455021
2006,37845,"місто Новомосковськ","Дніпропетровська область",0.177381424230414,0.606024573919937,0.0592680671158674
2006,40145,"Новомосковський район","Дніпропетровська область",0.119118196537551,0.651837090546768,0.040528085689376
2006,19909,"Магдалинівський район","Дніпропетровська область",0.100205937013411,0.700386759756894,0.0448540860917173
2006,16293,"Царичанський район","Дніпропетровська область",0.146750138096115,0.619407107346713,0.0538881728349598
2006,12249,"Петриківський район","Дніпропетровська область",0.157645522083435,0.580210629439138,0.0591068658666014
2006,19206,"Васильківський район","Дніпропетровська область",0.0698739977090493,0.70988232843903,0.0448818077684057
2006,14391,"Межівський район","Дніпропетровська область",0.0888055034396498,0.712945590994371,0.0521159057744424
2006,22434,"Покровський район","Дніпропетровська область",0.114558259784256,0.721092983863778,0.0504591245431042
2006,22673,"Синельниківський район","Дніпропетровська область",0.138623031799938,0.634499184051515,0.0408415295726194
2006,17305,"місто Синельникове","Дніпропетровська область",0.125397284021959,0.624443802369257,0.0544929211210633
2006,515291,"місто Донецьк","Донецька область",0.0269013043115444,0.891465210919655,0.0245958109107281
2006,48853,"місто Торецьк","Донецька область",0.0195689108140749,0.907743639080507,0.0138988393752687
2006,27808,"місто Мирноград","Донецька область",0.026503164556962,0.904919447640967,0.0142045454545455
2006,65653,"місто Бахмут","Донецька область",0.0326717743286674,0.890865611624755,0.0179580521834493
2006,37734,"Бахмутський район","Донецька область",0.0320665712619918,0.898791540785499,0.0199289765198495
2006,30367,"місто Лиман","Донецька область",0.027365231995258,0.883623670431719,0.0160700760694175
2006,16414,"Мангушський район","Донецька область",0.0213232606311685,0.900085293042525,0.0173023029121482
2006,13878,"Костянтинівський район","Донецька область",0.0206802132872172,0.904453091223519,0.0178700100879089
2006,51147,"Мар'їнський район","Донецька область",0.024986802745029,0.897139617181848,0.0195905918235674
2006,166339,"місто Горлівка","Донецька область",0.0202357835504602,0.909840746908422,0.0166166683700154
2006,27724,"місто Дебальцеве","Донецька область",0.0146804212956283,0.927679988457654,0.0107488096955706
2006,78271,"місто Єнакієве","Донецька область",0.00886663004177793,0.950122011984004,0.00886663004177793
2006,8581,"місто Жданівка","Донецька область",0.0136347745018063,0.910499941731733,0.0365924717398905
2006,14006,"місто Кіровське","Донецька область",0.0146365843210053,0.928673425674711,0.0135656147365415
2006,62034,"місто Харцизьк","Донецька область",0.0166037979172712,0.917416255601767,0.0152819421607506
2006,43486,"місто Костянтинівка","Донецька область",0.0219840868325438,0.896863358322219,0.0206733201490135
2006,37085,"місто Дружківка","Донецька область",0.0402858298503438,0.886773628151544,0.0146150734798436
2006,51515,"місто Торез","Донецька область",0.0166165194603514,0.923963894011453,0.0131029797146462
2006,221910,"місто Макіївка","Донецька область",0.0158487675183633,0.922301834076878,0.0144292731287459
2006,242453,"місто Маріуполь","Донецька область",0.0187871463747613,0.88159354596561,0.020832903696799
2006,11498,"Добропільський район","Донецька область",0.0450513132718734,0.866672464776483,0.0226995999304227
2006,20526,"Покровський район","Донецька область",0.0280619701841567,0.89238039559583,0.0182695118386437
2006,42677,"місто Покровськ","Донецька область",0.025306371113246,0.882981465426342,0.0206668697424842
2006,12785,"Олександрівський район","Донецька область",0.0428627297614392,0.880328509972624,0.0281579976535002
2006,36284,"місто Добропілля","Донецька область",0.0328519457612171,0.882207033403153,0.0226270532466101
2006,115202,"місто Краматорськ","Донецька область",0.0637836148677974,0.861122202739536,0.0255551118904186
2006,86657,"місто Слов'янськ","Донецька область",0.0334191121317378,0.885675709983036,0.0217870454781495
2006,6798,"Слов'янський район","Донецька область",0.040453074433657,0.901588702559576,0.0142689026184172
2006,39043,"місто Шахтарськ","Донецька область",0.0160079911892017,0.932663985861742,0.0116794303716415
2006,14068,"Шахтарський район","Донецька область",0.0245237418254194,0.924011941996019,0.00767699744100085
2006,39152,"місто Сніжне","Донецька область",0.0109317531671434,0.939134654679199,0.00863302002451982
2006,21709,"місто Авдіївка","Донецька область",0.0277304343820535,0.893961029987563,0.0173200055276613
2006,10042,"місто Вугледар","Донецька область",0.0316669986058554,0.875124477195778,0.0349531965743876
2006,8948,"місто Новогродівка","Донецька область",0.0309566383549397,0.893272239606616,0.0168752793920429
2006,30160,"місто Селидове","Донецька область",0.0329244031830239,0.888395225464191,0.0183355437665782
2006,21999,"місто Ясинувата","Донецька область",0.0279558161734624,0.875857993545161,0.0194099731805991
2006,17306,"Ясинуватський район","Донецька область",0.0266381601756616,0.902519357448284,0.0145614237836588
2006,27265,"Великоновосілківський район","Донецька область",0.033596185585916,0.869356317623327,0.0280946268109298
2006,51605,"Волноваський район","Донецька область",0.0227691115202015,0.879779091173336,0.0196492587927526
2006,18763,"Нікольський район","Донецька область",0.0151894686350797,0.915525235836487,0.0119383893833609
2006,30364,"Амвросіївський район","Донецька область",0.0158411276511659,0.921222500329337,0.0122184165459096
2006,14370,"місто Докучаєвськ","Донецька область",0.0249130132219903,0.888448155880306,0.0109951287404315
2006,23091,"Новоазовський район","Донецька область",0.0106968082802824,0.919102680698108,0.0113464120219999
2006,32048,"Старобешівський район","Донецька область",0.0168497254118822,0.911320519221168,0.0111083374937594
2006,20626,"Тельманівський район","Донецька область",0.00901774459420149,0.912101231455445,0.0130902744109377
2006,131802,"місто Житомир","Житомирська область",0.31141409083322,0.429045082775679,0.159625802339873
2006,42985,"місто Бердичів","Житомирська область",0.28600674653949,0.415005234384087,0.195161102710248
2006,19830,"Бердичівський район","Житомирська область",0.272566817952597,0.353706505295008,0.245738779626828
2006,23584,"Чуднівський район","Житомирська область",0.236473880597015,0.408073270013569,0.252756105834464
2006,21675,"Андрушівський район","Житомирська область",0.237877739331027,0.386989619377163,0.257254901960784
2006,21179,"Попільнянський район","Житомирська область",0.390622786722697,0.309599131214883,0.191510458473016
2006,20189,"Ружинський район","Житомирська область",0.235177571945119,0.414681262073406,0.24513348853336
2006,33878,"місто Коростень","Житомирська область",0.20376055257099,0.569071373752878,0.0851289922663676
2006,18923,"Коростенський район","Житомирська область",0.165090101992285,0.518945198964223,0.148390847117265
2006,20055,"Хорошівський район","Житомирська область",0.269010221889803,0.436998254799302,0.163849414111194
2006,28611,"місто Новоград-Волинський","Житомирська область",0.205340603264479,0.558875956799832,0.14795008912656
2006,13511,"Пулинський район","Житомирська область",0.212715565095108,0.462512027237066,0.194952261120568
2006,28311,"Новоград-Волинський район","Житомирська область",0.205962346791,0.443431881600791,0.247924834869839
2006,22249,"Ємільчинський район","Житомирська область",0.205132814957976,0.464829879994606,0.213987145489685
2006,24800,"Олевський район","Житомирська область",0.155564516129032,0.448306451612903,0.275040322580645
2006,21589,"Коростишівський район","Житомирська область",0.286905368474686,0.371253879290379,0.235443976098939
2006,39929,"Житомирський район","Житомирська область",0.262190387938591,0.424303138070074,0.19374389541436
2006,6519,"Брусилівський район","Житомирська область",0.333946924374904,0.343457585519251,0.216290842153705
2006,12955,"місто Малин","Житомирська область",0.402470088768815,0.277113083751447,0.238131995368584
2006,12913,"Малинський район","Житомирська область",0.184852474250755,0.409432354991094,0.276233253310617
2006,22050,"Радомишльський район","Житомирська область",0.314421768707483,0.317278911564626,0.261496598639456
2006,17029,"Черняхівський район","Житомирська область",0.281637207117271,0.447060896118386,0.150507957014505
2006,36331,"Овруцький район","Житомирська область",0.137155597148441,0.533373702898351,0.190168175937904
2006,6007,"Народицький район","Житомирська область",0.109705343765607,0.504245047444648,0.216414183452639
2006,11049,"Лугинський район","Житомирська область",0.168884061906055,0.430808217938275,0.231604670105892
2006,24686,"Баранівський район","Житомирська область",0.237503038159281,0.348456615085474,0.296807907315888
2006,18037,"Любарський район","Житомирська область",0.175916172312469,0.380107556689028,0.31901092199368
2006,17919,"Романівський район","Житомирська область",0.199285674423796,0.46676711870082,0.226072883531447
2006,58920,"місто Ужгород","Закарпатська область",0.32387983706721,0.31091310251188,0.239782756279701
2006,36998,"Ужгородський район","Закарпатська область",0.23614789988648,0.265149467538786,0.249310773555327
2006,4864,"місто Чоп","Закарпатська область",0.149876644736842,0.286184210526316,0.202713815789474
2006,26314,"Свалявський район","Закарпатська область",0.257885536216463,0.333738694231208,0.24618074029034
2006,15738,"Великоберезнянський район","Закарпатська область",0.225250984877367,0.251111958317448,0.283771762612784
2006,14676,"Воловецький район","Закарпатська область",0.304647042790951,0.240051785227582,0.233578631779777
2006,24287,"Міжгірський район","Закарпатська область",0.146745172314407,0.268168155803516,0.436612179355211
2006,17165,"Перечинський район","Закарпатська область",0.26128750364113,0.259656277308477,0.27614331488494
2006,32215,"місто Мукачево","Закарпатська область",0.162626105851312,0.370665838894925,0.303709452118578
2006,54609,"Мукачівський район","Закарпатська область",0.155194198758446,0.234778150121775,0.41311871669505
2006,9621,"місто Берегове","Закарпатська область",0.189585282195198,0.330942729446004,0.224612826109552
2006,26199,"Берегівський район","Закарпатська область",0.1098896904462,0.290011069124776,0.213519599984732
2006,54105,"Виноградівський район","Закарпатська область",0.185823861010997,0.260548932630995,0.338674799001941
2006,45676,"Іршавський район","Закарпатська область",0.233098344863823,0.296742271652509,0.31817584727209
2006,63604,"Тячівський район","Закарпатська область",0.140855921011257,0.415524180869128,0.271508081252751
2006,14172,"місто Хуст","Закарпатська область",0.262136607394863,0.312517640417725,0.299252046288456
2006,41538,"Хустський район","Закарпатська область",0.139101545572729,0.464851461312533,0.233448890172854
2006,36584,"Рахівський район","Закарпатська область",0.223540345506232,0.214465340039361,0.415618849770391
2006,420959,"місто Запоріжжя","Запорізька область",0.145263552982594,0.668053183326642,0.0861865407319953
2006,31131,"Вільнянський район","Запорізька область",0.0954996627156211,0.71221611898108,0.058077157816967
2006,30593,"Запорізький район","Запорізька область",0.0958389173994051,0.715850031052855,0.0793318733043507
2006,28493,"Оріхівський район","Запорізька область",0.0952163689327203,0.724353349945601,0.0579791527743656
2006,66220,"місто Бердянськ","Запорізька область",0.101600724856539,0.764270613107822,0.0529900332225914
2006,16709,"Бердянський район","Запорізька область",0.0686456400742115,0.795499431444132,0.0522472918786283
2006,15072,"Більмацький район","Запорізька область",0.09302016985138,0.742834394904459,0.0560642250530786
2006,6774,"Розівський район","Запорізька область",0.0298198996161795,0.837614408030706,0.0428107469737231
2006,19708,"Приморський район","Запорізька область",0.105794601177187,0.733712198092145,0.0773290034503755
2006,37197,"Василівський район","Запорізька область",0.0849262037261069,0.74866252654784,0.0675054439874183
2006,4852,"Великобілозерський район","Запорізька область",0.0673948887056884,0.791838417147568,0.0507007419620775
2006,29299,"місто Енергодар","Запорізька область",0.114509027611864,0.699614321307894,0.0690467251442029
2006,23608,"Кам'янсько-Дніпровський район","Запорізька область",0.0378685191460522,0.863224330735344,0.0402405964079973
2006,12935,"Веселівський район","Запорізька область",0.0552763819095477,0.817317356010823,0.0509470429068419
2006,83507,"місто Мелітополь","Запорізька область",0.0726046918222424,0.803393727471948,0.0492653310500916
2006,30022,"Мелітопольський район","Запорізька область",0.0458663646659117,0.839018053427486,0.0460662181067217
2006,21446,"Якимівський район","Запорізька область",0.0702695141285088,0.807423295719481,0.048866921570456
2006,23434,"місто Токмак","Запорізька область",0.101220448920372,0.788213706580183,0.0426303661346761
2006,10450,"Токмацький район","Запорізька область",0.0687081339712919,0.784401913875598,0.0630622009569378
2006,16825,"Михайлівський район","Запорізька область",0.0752451708766716,0.775453194650817,0.0557503714710253
2006,17808,"Приазовський район","Запорізька область",0.0507075471698113,0.822663971248877,0.0490790655884995
2006,24624,"Пологівський район","Запорізька область",0.13182261208577,0.690058479532164,0.0570581546458739
2006,18586,"Гуляйпільський район","Запорізька область",0.113311094372108,0.685139352200581,0.0819433982567524
2006,10509,"Новомиколаївський район","Запорізька область",0.0756494433342849,0.751641450185555,0.0703206775145114
2006,12755,"Чернігівський район","Запорізька область",0.0626421011368091,0.808780870246962,0.0426499411995296
2006,122158,"місто Івано-Франківськ","Івано-Франківська область",0.360107401889356,0.143617282535732,0.426971626909412
2006,36152,"місто Калуш","Івано-Франківська область",0.420944899314008,0.082097809249834,0.433032750608542
2006,38563,"Калуський район","Івано-Франківська область",0.290148588024791,0.0372636983637165,0.610559344449343
2006,36232,"Городенківський район","Івано-Франківська область",0.268491940825789,0.0689721792890263,0.569413777875911
2006,53287,"Тисменицький район","Івано-Франківська область",0.350104152982904,0.0404789160583257,0.54628708690675
2006,30490,"Тлумацький район","Івано-Франківська область",0.303312561495572,0.0590685470646114,0.552640209904887
2006,31795,"Галицький район","Івано-Франківська область",0.241610316087435,0.0445353042931279,0.652932851077213
2006,8284,"місто Бурштин","Івано-Франківська область",0.463302752293578,0.0459922742636408,0.43010622887494
2006,4866,"місто Рогатин","Івано-Франківська область",0.321824907521578,0.0741882449650637,0.519728729963009
2006,27943,"Рогатинський район","Івано-Франківська область",0.256880077300218,0.0313137458397452,0.626740149590237
2006,39831,"Богородчанський район","Івано-Франківська область",0.230925660917376,0.0438603098089428,0.656548919183551
2006,11468,"місто Болехів","Івано-Франківська область",0.218957098011859,0.0471747471224276,0.675619114056505
2006,41706,"Долинський район","Івано-Франківська область",0.224835755047235,0.0591521603606196,0.651944564331271
2006,42167,"Рожнятівський район","Івано-Франківська область",0.209761187658596,0.0371380463395546,0.68705385728176
2006,11396,"місто Надвірна","Івано-Франківська область",0.270796770796771,0.11030186030186,0.547034047034047
2006,50717,"Надвірнянський район","Івано-Франківська область",0.190488396395686,0.0501015438610328,0.675828617623282
2006,12241,"місто Яремче","Івано-Франківська область",0.203087983007924,0.0444408136590148,0.663181112654195
2006,16509,"Верховинський район","Івано-Франківська область",0.283178872130353,0.061784481192077,0.53752498637107
2006,30797,"місто Коломия","Івано-Франківська область",0.411306296067799,0.127220183784135,0.376367828035198
2006,60937,"Коломийський район","Івано-Франківська область",0.39663915191099,0.0488045030113068,0.468024353020332
2006,40379,"Снятинський район","Івано-Франківська область",0.39931647638624,0.0557220337304044,0.474380247158176
2006,50166,"Косівський район","Івано-Франківська область",0.228401706334968,0.0744528166487262,0.61071243471674
2006,102258,"місто Біла Церква","Київська область, Київ",0.502503471611023,0.310811868020106,0.109086819613135
2006,33105,"Білоцерківський район","Київська область, Київ",0.468358254040175,0.319800634345265,0.114756079142124
