"group","voices_per_group","ru.ua","Year","step"
"5",72905,"ru",2019,28.1603875366667
"7",277832,"ru",2019,30.5572662753333
"6",170139,"ru",2019,29.358826906
"2",79548,"ru",2019,24.5650694286667
"3",86566,"ru",2019,25.763508798
"4",107151,"ru",2019,26.9619481673333
"10",243215,"ru",2019,34.1525843833333
"12",439933,"ru",2019,36.549463122
"11",424354,"ru",2019,35.3510237526667
"13",425575,"ru",2019,37.7479024913333
"14",184038,"ru",2019,38.9463418606667
"1",61566,"ru",2019,23.3666300593333
"8",356745,"ru",2019,31.7557056446667
"9",233035,"ru",2019,32.954145014
"15",34498,"ru",2019,40.14478123
"5",246312,"undefined",2019,28.1603875366667
"7",643274,"undefined",2019,30.5572662753333
"6",359729,"undefined",2019,29.358826906
"2",311823,"undefined",2019,24.5650694286667
"3",388718,"undefined",2019,25.763508798
"4",407755,"undefined",2019,26.9619481673333
"10",624727,"undefined",2019,34.1525843833333
"12",514599,"undefined",2019,36.549463122
"11",872846,"undefined",2019,35.3510237526667
"13",257271,"undefined",2019,37.7479024913333
"14",85327,"undefined",2019,38.9463418606667
"1",175126,"undefined",2019,23.3666300593333
"8",752512,"undefined",2019,31.7557056446667
"9",556616,"undefined",2019,32.954145014
"15",14016,"undefined",2019,40.14478123
